team,strength_rating,rating_source,notes
Spain,2030,provisional,Tier 1 elite
Argentina,2030,provisional,Strong non-drafted (holders-caliber)
France,2020,provisional,Tier 1 elite
Brazil,2010,provisional,Tier 1 elite
England,1995,provisional,Tier 1 elite
Germany,1975,provisional,Strong non-drafted
Portugal,1965,provisional,Strong non-drafted
Netherlands,1955,provisional,Strong non-drafted
Belgium,1945,provisional,Strong non-drafted
Uruguay,1905,provisional,Mid-strong non-drafted
Croatia,1900,provisional,Mid-strong non-drafted
Morocco,1895,provisional,Tier 2 (strong real form)
Colombia,1890,provisional,Mid-strong non-drafted
Norway,1875,provisional,Tier 2
Senegal,1870,provisional,Tier 2
Switzerland,1860,provisional,Tier 2
Mexico,1855,provisional,Host / mid non-drafted
Japan,1855,provisional,Tier 2
United States,1850,provisional,Tier 2 / co-host
Ecuador,1835,provisional,Mid non-drafted
Türkiye,1830,provisional,Tier 3 (strong)
Austria,1820,provisional,Tier 2
Sweden,1815,provisional,Mid non-drafted
South Korea,1815,provisional,Tier 3
Canada,1805,provisional,Tier 3 / co-host
Ivory Coast,1805,provisional,Tier 2
Algeria,1795,provisional,Mid non-drafted
Iran,1790,provisional,Mid non-drafted
Czechia,1785,provisional,Tier 3
Egypt,1785,provisional,Tier 3
Scotland,1775,provisional,Mid non-drafted
Bosnia and Herzegovina,1775,provisional,Tier 3
Australia,1765,provisional,Mid non-drafted
Paraguay,1760,provisional,Mid non-drafted
Tunisia,1755,provisional,Mid non-drafted
Ghana,1755,provisional,Tier 3
South Africa,1740,provisional,Tier 3
DR Congo,1700,provisional,Tier 4 (strong for tier)
Qatar,1700,provisional,Lower non-drafted
Uzbekistan,1695,provisional,Lower non-drafted
Panama,1690,provisional,Lower non-drafted
Iraq,1675,provisional,Lower non-drafted
Saudi Arabia,1660,provisional,Tier 4
Cape Verde,1655,provisional,Lower non-drafted (debutant)
New Zealand,1645,provisional,Lower non-drafted
Jordan,1635,provisional,Tier 4
Haiti,1560,provisional,Tier 4 (weakest drafted)
Curacao,1540,provisional,Weakest non-drafted (debutant)
